s/ ativ;c/ ativ;;media;DesvPad;RMS;max
79;0;;;;;
0;112;;;;;
130;0;;;;;
0;0;;;;;
0;41;;;;;
0;0;;;;;
0;142;;;;;
178;0;;;;;
0;0;;;;;
336;0;;;;;
0;0;;;;;
0;105;;;;;
101;0;;;;;
0;0;;;;;
0;66;;;;;
61;0;;;;;
0;144;;;;;
112;0;;;;;
0;0;;;;;
315;0;;;;;
0;0;;;;;
0;197;;;;;
94;0;;;;;
0;259;;;;;
337;12;;;;;
16;0;;;;;
0;85;;;;;
42;0;;;;;
0;405;;;;;
250;0;;;;;
0;0;;;;;
0;112;;;;;
105;1;;;;;
0;304;;;;;
244;0;;;;;
9;0;;;;;
0;147;;;;;
19;0;;;;;
0;250;;;;;
245;0;;;;;
0;0;;;;;
0;85;;;;;
67;0;;;;;
0;203;;;;;
240;0;;;;;
0;0;;;;;
0;0;;;;;
179;0;;;;;
0;198;;;;;
0;80;;;;;
41;0;;;;;
0;302;;;;;
108;0;;;;;
0;0;;;;;
0;143;;;;;
0;0;;;;;
0;0;;;;;
229;0;;;;;
0;0;;;;;
0;133;;;;;
0;0;;;;;
0;0;;;;;
104;2;;;;;
0;0;;;;;
266;112;;;;;
34;0;;;;;
0;87;;;;;
99;0;;;;;
0;0;;;;;
258;128;;;;;
0;0;;;;;
0;50;;;;;
143;49;;;;;
0;0;;;;;
282;82;;;;;
0;0;;;;;
0;183;;;;;
31;0;;;;;
0;0;;;;;
231;257;;;;;
0;0;;;;;
0;257;;;;;
81;4;;;;;
0;0;;;;;
249;112;;;;;
0;0;;;;;
0;71;;;;;
32;0;;;;;
0;0;;;;;
189;147;;;;;
0;0;;;;;
0;266;;;;;
286;0;;;;;
0;0;;;;;
0;53;;;;;
58;0;;;;;
0;298;;;;;
257;0;;;;;
19;89;;;;;
0;0;;;;;
0;157;;;;;
0;0;;;;;
189;0;;;;;
0;0;;;;;
0;0;;;;;
66;240;;;;;
0;0;;;;;
142;0;;;;;
0;19;;;;;
0;0;;;;;
0;122;;;;;
0;0;;;;;
187;0;;;;;
0;54;;;;;
0;0;;;;;
28;217;;;;;
0;0;;;;;
109;0;;;;;
0;0;;;;;
0;0;;;;;
0;138;;;;;
0;0;;;;;
131;0;;;;;
0;16;;;;;
315;0;;;;;
0;128;;;;;
0;0;;;;;
99;145;;;;;
0;0;;;;;
323;0;;;;;
48;99;;;;;
0;0;;;;;
78;283;;;;;
0;44;;;;;
295;0;;;;;
0;77;;;;;
0;0;;;;;
79;288;;;;;
0;0;;;;;
336;0;;;;;
0;138;;;;;
0;0;;;;;
14;323;;;;;
0;0;;;;;
264;0;;;;;
0;31;;;;;
0;0;;;;;
51;269;;;;;
0;304;;;;;
171;0;;;;;
0;0;;;;;
0;20;;;;;
11;0;;;;;
0;162;;;;;
167;0;;;;;
0;0;;;;;
0;77;;;;;
0;0;;;;;
0;221;;;;;
121;18;;;;;
0;0;;;;;
0;1;;;;;
61;0;;;;;
0;211;;;;;
119;0;;;;;
0;0;;;;;
269;112;;;;;
0;0;;;;;
0;208;;;;;
129;0;;;;;
0;0;;;;;
253;6;;;;;
0;0;;;;;
0;269;;;;;
19;0;;;;;
0;0;;;;;
233;59;;;;;
0;0;;;;;
0;251;;;;;
54;0;;;;;
0;0;;;;;
208;17;;;;;
0;0;;;;;
0;289;;;;;
44;0;;;;;
0;0;;;;;
199;158;;;;;
2;0;;;;;
0;252;;;;;
3;0;;;;;
0;0;;;;;
206;62;;;;;
279;0;;;;;
0;341;;;;;
0;30;;;;;
154;0;;;;;
0;0;;;;;
299;46;;;;;
2;0;;;;;
0;338;;;;;
121;0;;;;;
0;0;;;;;
0;108;;;;;
0;0;;;;;
0;263;;;;;
147;0;;;;;
0;0;;;;;
0;61;;;;;
0;0;;;;;
0;277;;;;;
117;7;;;;;
0;0;;;;;
0;29;;;;;
21;0;;;;;
0;210;;;;;
161;0;;;;;
0;0;;;;;
0;127;;;;;
0;0;;;;;
0;283;;;;;
150;0;;;;;
0;0;;;;;
0;53;;;;;
77;0;;;;;
0;232;;;;;
154;0;;;;;
0;0;;;;;
0;114;;;;;
0;0;;;;;
0;272;;;;;
182;0;;;;;
0;0;;;;;
226;39;;;;;
0;0;;;;;
0;389;;;;;
95;2;;;;;
0;0;;;;;
393;83;;;;;
2;0;;;;;
0;491;;;;;
91;0;;;;;
0;0;;;;;
320;91;;;;;
0;0;;;;;
121;97;;;;;
0;154;;;;;
0;0;;;;;
0;0;;;;;
0;0;;;;;
176;0;;;;;
0;70;;;;;
0;0;;;;;
15;293;;;;;
0;29;;;;;
139;0;;;;;
0;35;;;;;
0;0;;;;;
0;226;;;;;
0;0;;;;;
128;0;;;;;
0;78;;;;;
321;0;;;;;
0;105;;;;;
0;0;;;;;
70;203;;;;;
0;0;;;;;
254;0;;;;;
0;115;;;;;
0;0;;;;;
88;278;;;;;
0;0;;;;;
0;0;;;;;
0;72;;;;;
0;0;;;;;
84;90;;;;;
0;41;;;;;
342;0;;;;;
9;112;;;;;
0;0;;;;;
80;195;;;;;
0;0;;;;;
503;0;;;;;
14;105;;;;;
0;0;;;;;
84;240;;;;;
0;42;;;;;
297;0;;;;;
0;80;;;;;
0;0;;;;;
64;221;;;;;
0;0;;;;;
294;0;;;;;
26;79;;;;;
0;256;;;;;
313;0;;;;;
0;0;;;;;
0;48;;;;;
48;0;;;;;
0;282;;;;;
225;34;;;;;
11;0;;;;;
0;32;;;;;
0;0;;;;;
0;225;;;;;
172;0;;;;;
0;0;;;;;
0;87;;;;;
80;0;;;;;
0;216;;;;;
171;0;;;;;
0;0;;;;;
0;0;;;;;
0;0;;;;;
0;176;;;;;
298;0;;;;;
0;0;;;;;
0;0;;;;;
28;0;;;;;
0;113;;;;;
183;0;;;;;
0;396;;;;;
0;16;;;;;
20;0;;;;;
0;102;;;;;
240;0;;;;;
0;242;;;;;
0;0;;;;;
21;0;;;;;
0;75;;;;;
231;0;;;;;
0;285;;;;;
0;22;;;;;
50;0;;;;;
0;60;;;;;
293;0;;;;;
15;272;;;;;
0;0;;;;;
46;0;;;;;
0;102;;;;;
282;0;;;;;
0;221;;;;;
0;172;;;;;
92;0;;;;;
60;0;;;;;
0;0;;;;;
150;0;;;;;
