,0
467,1820.0588235294117
468,1835.7058823529412
469,1848.0588235294117
470,1857.5294117647059
471,1864.4705882352941
472,1869.2941176470588
473,1873.8823529411766
474,1880.5882352941176
475,1890.2941176470588
476,1901.5294117647059
477,1913.0588235294117
478,1924.7058823529412
479,1937.235294117647
480,1950.8823529411766
481,1964.764705882353
482,1979.1176470588234
483,1992.7058823529412
484,2003.9411764705883
485,2014.2941176470588
486,2028.764705882353
487,2045.764705882353
488,2064.0588235294117
489,2082.176470588235
490,2099.1176470588234
491,2094.176470588235
492,2088.8823529411766
493,2084.176470588235
494,2081.0
495,2078.8823529411766
496,2075.176470588235
497,2068.176470588235
498,2058.294117647059
499,2044.2941176470588
500,2027.235294117647
501,2008.5294117647059
502,1989.0588235294117
503,1966.5294117647059
504,1941.764705882353
505,1913.235294117647
506,1882.1176470588234
507,1851.2941176470588
508,1841.764705882353
509,1831.764705882353
510,1820.4705882352941
511,1807.9411764705883
512,1793.1764705882354
513,1777.2941176470588
514,1761.7058823529412
515,1752.4117647058824
516,1743.235294117647
517,1735.1764705882354
518,1728.8235294117646
519,1722.8823529411766
520,1719.3529411764705
521,1718.4705882352941
522,1722.5882352941176
523,1731.0588235294117
524,1741.1764705882354
525,1752.235294117647
526,1764.1764705882354
527,1777.3529411764705
528,1790.9411764705883
529,1804.9411764705883
530,1818.1176470588234
531,1829.235294117647
532,1831.0588235294117
533,1830.235294117647
534,1827.5294117647059
535,1824.1764705882354
536,1821.2941176470588
537,1819.1764705882354
538,1808.9411764705883
539,1794.0
540,1772.3529411764705
541,1745.8235294117646
542,1716.0
543,1685.4117647058824
544,1656.4705882352941
545,1631.5882352941176
546,1614.235294117647
547,1607.0
548,1610.764705882353
549,1625.0
550,1646.4705882352941
